VNET,"21Vianet Group, Inc."
TWOU,"2U, Inc."
DDD,3D Systems Corporation
JOBS,"51job, Inc."
WUBA,58.com Inc.
EGHT,8x8 Inc
ATEN,"A10 Networks, Inc."
AAN,"Aaron&#39;s,  Inc."
ACIA,"Acacia Communications, Inc."
ACIW,"ACI Worldwide, Inc."
ACMR,"ACM Research, Inc."
ATVI,"Activision Blizzard, Inc"
ATU,Actuant Corporation
IOTS,Adesto Technologies Corporation
ADBE,Adobe Inc.
AMD,"Advanced Micro Devices, Inc."
AER,Aercap Holdings N.V.
ACY,AeroCentury Corp.
HIVE,"Aerohive Networks, Inc."
AGYS,"Agilysys, Inc."
AGMH,AGM Group Holdings Inc.
AL,Air Lease Corporation
AYR,Aircastle Limited
AIRG,"Airgain, Inc."
AMCN,AirMedia Group Inc.
ALRM,"Alarm.com Holdings, Inc."
ALYA,Alithya Group inc.
ALLT,Allot Ltd.
MDRX,"Allscripts Healthcare Solutions, Inc."
AOSL,Alpha and Omega Semiconductor Limited
GOOG,Alphabet Inc.
GOOGL,Alphabet Inc.
AABA,Altaba Inc.
ALTR,Altair Engineering Inc.
AYX,"Alteryx, Inc."
AMBA,"Ambarella, Inc."
AMBR,"Amber Road, Inc."
DOX,Amdocs Limited
AMRH,"Ameri Holdings, Inc."
AMRHW,"Ameri Holdings, Inc."
AMSWA,"American Software, Inc."
AMKR,"Amkor Technology, Inc."
AMN,AMN Healthcare Services Inc
ASYS,"Amtech Systems, Inc."
ADI,"Analog Devices, Inc."
PLAN,"Anaplan, Inc."
ANSS,"ANSYS, Inc."
APY,Apergy Corporation
APPF,"AppFolio, Inc."
APPN,Appian Corporation
AAPL,Apple Inc.
AMAT,"Applied Materials, Inc."
AAOI,"Applied Optoelectronics, Inc."
AQ,Aquantia Corp.
ANET,"Arista Networks, Inc."
ASX,"ASE Technology Holding Co., Ltd."
ASGN,ASGN Incorporated
ASML,ASML Holding N.V.
AZPN,"Aspen Technology, Inc."
ALOT,"AstroNova, Inc."
ASUR,Asure Software Inc
TEAM,Atlassian Corporation Plc
ATOM,Atomera Incorporated
ATTU,Attunity Ltd.
AUO,AU Optronics Corp
AEYE,"AudioEye, Inc."
JG,Aurora Mobile Limited
ADSK,"Autodesk, Inc."
ATHM,Autohome Inc.
ADP,"Automatic Data Processing, Inc."
AUTO,"AutoWeb, Inc."
AVLR,"Avalara, Inc."
AVNW,"Aviat Networks, Inc."
AVID,"Avid Technology, Inc."
AWRE,"Aware, Inc."
ACLS,"Axcelis Technologies, Inc."
AXTI,AXT Inc
BOSC,B.O.S. Better Online Solutions
BIDU,"Baidu, Inc."
BAND,Bandwidth Inc.
BBSI,"Barrett Business Services, Inc."
BHE,"Benchmark Electronics, Inc."
BNFT,"Benefitfocus, Inc."
BGSF,BG Staffing Inc
BILI,Bilibili Inc.
BKYI,"BIO-key International, Inc."
BITA,Bitauto Holdings Limited
BKTI,BK Technologies Corporation
BKI,"Black Knight, Inc."
BLKB,"Blackbaud, Inc."
BB,BlackBerry Limited
BL,"BlackLine, Inc."
BDR,"Blonder Tongue Laboratories, Inc."
BRQS,"Borqs Technologies, Inc. "
EPAY,"Bottomline Technologies, Inc."
BOX,"Box, Inc."
BLIN          ,"Bridgeline Digital, Inc."
BCOV,Brightcove Inc.
AVGO,Broadcom Inc.
BVSN,"BroadVision, Inc."
BRKS,"Brooks Automation, Inc."
CCMP,Cabot Microelectronics Corporation
CACI,"CACI International, Inc."
CDNS,"Cadence Design Systems, Inc."
CAI,"CAI International, Inc."
CAMP,CalAmp Corp.
CSIQ,Canadian Solar Inc.
CANG,Cango Inc.
CBLK,"Carbon Black, Inc."
CARB,"Carbonite, Inc."
CDLX,"Cardlytics, Inc."
CARG,"CarGurus, Inc."
CARS,Cars.com Inc.
CASA,"Casa Systems, Inc."
CSLT,"Castlight Health, inc."
CLS,"Celestica, Inc."
CRNT,Ceragon Networks Ltd.
CDAY,Ceridian HCM Holding Inc.
CERN,Cerner Corporation
CEVA,"CEVA, Inc."
CYOU,Changyou.com Limited
ECOM          ,ChannelAdvisor Corporation
CHKP,Check Point Software Technologies Ltd.
CMCM,Cheetah Mobile Inc.
CVR,Chicago Rivet & Machine Co.
CCIH,ChinaCache International Holdings Ltd.
CNET,"ChinaNet Online Holdings, Inc."
IMOS,ChipMOS TECHNOLOGIES INC.
CCC,Churchill Capital Corp
CRUS,"Cirrus Logic, Inc."
CSCO,"Cisco Systems, Inc."
CISN,Cision Ltd.
CTXS,"Citrix Systems, Inc."
CLDR,"Cloudera, Inc."
CLPS,CLPS Incorporation
CTSH,Cognizant Technology Solutions Corporation
CCNI,"Command Center, Inc."
COMM,"CommScope Holding Company, Inc."
CVLT,"Commvault Systems, Inc."
CPSI,"Computer Programs and Systems, Inc."
CTG,"Computer Task Group, Incorporated"
CMTL,Comtech Telecommunications Corp.
CTK,CooTek (Cayman) Inc.
CLGX,"CoreLogic, Inc."
CSOD,"Cornerstone OnDemand, Inc."
CPAH,CounterPath Corporation
COUP,Coupa Software Incorporated
CRAY,Cray Inc
CREX,"Creative Realities, Inc."
CREXW,"Creative Realities, Inc."
CREE,"Cree, Inc."
CRTO,Criteo S.A.
CCRN,"Cross Country Healthcare, Inc."
CSGS,"CSG Systems International, Inc."
CSPI,CSP Inc.
CTS,CTS Corporation
CW,Curtiss-Wright Corporation
CVV,CVD Equipment Corporation
CYBR,CyberArk Software Ltd.
CY,Cypress Semiconductor Corporation
CYRN,CYREN Ltd.
DQ,DAQO New Energy Corp.
DTSS,Datasea Inc.
DELL,Dell Technologies Inc.
DGII,Digi International Inc.
DMRC,Digimarc Corporation
DGLY,"Digital Ally, Inc."
DIOD,Diodes Incorporated
DLHC,DLH Holdings Corp.
DOCU,"DocuSign, Inc."
DOMO,"Domo, Inc."
DOV,Dover Corporation
DBX,"Dropbox, Inc."
DSPG,"DSP Group, Inc."
DXC,DXC Technology Company
ETN,"Eaton Corporation, PLC"
EBIX,"Ebix, Inc."
SATS,EchoStar Corporation
EGAN,eGain Corporation
ESTC,Elastic N.V.
EA,Electronic Arts Inc.
EFII,"Electronics for Imaging, Inc."
ELTK,Eltek Ltd.
EMAN,eMagin Corporation
EMKR,EMCORE Corporation
DAVA,Endava plc
EIGI,"Endurance International Group Holdings, Inc."
WATT,Energous Corporation
ERII,"Energy Recovery, Inc."
ENPH,"Enphase Energy, Inc."
EVSIW,"Envision Solar International, Inc."
EPAM,"EPAM Systems, Inc."
PLUS,ePlus inc.
ERIC,Ericsson
EB,"Eventbrite, Inc."
EVBG,"Everbridge, Inc."
EVER,"EverQuote, Inc."
MRAM,"Everspin Technologies, Inc."
EVTC,"Evertec, Inc."
EVOL,"Evolving Systems, Inc."
AQUA,Evoqua Water Technologies Corp.
EXTN,Exterran Corporation
EXTR,"Extreme Networks, Inc."
FFIV,"F5 Networks, Inc."
FB,"Facebook, Inc."
FDS,FactSet Research Systems Inc.
SFUN,Fang Holdings Limited
FNSR,Finisar Corporation
FEYE,"FireEye, Inc."
FSLR,"First Solar, Inc."
FISV,"Fiserv, Inc."
FIT,"Fitbit, Inc."
FIVN,"Five9, Inc."
FLEX,Flex Ltd.
FPAY,"FlexShopper, Inc."
FPAYW,"FlexShopper, Inc."
FSCT,"ForeScout Technologies, Inc."
FRSX,Foresight Autonomous Holdings Ltd.
FORM,"FormFactor, Inc."
FORTY,Formula Systems (1985) Ltd.
FTNT,"Fortinet, Inc."
FTEO,"FRONTEO, Inc."
FSNN,"Fusion Connect, Inc."
GDI,"Gardner Denver Holdings, Inc."
GTES,Gates Industrial Corporation plc
GDS,GDS Holdings Limited
JOB,GEE Group Inc.
GFN,General Finance Corporation
GFNCP,General Finance Corporation
GFNSL,General Finance Corporation
GIGM,GigaMedia Limited
GILT,Gilat Satellite Networks Ltd.
GSB,"GlobalSCAPE, Inc."
GLOB,Globant S.A.
GLUU,Glu Mobile Inc.
GDDY,GoDaddy Inc.
GHM,Graham Corporation
GEC,"Great Elm Capital Group, Inc. "
GRNQ,Greenpro Capital Corp.
GSUM,Gridsum Holding Inc.
GRPN,"Groupon, Inc."
GVP,"GSE Systems, Inc."
GSIT,"GSI Technology, Inc."
GTYH,"GTY Technology Holdings, Inc."
GTYHW,"GTY Technology Holdings, Inc."
GWRE,"Guidewire Software, Inc."
HLIT,Harmonic Inc.
HHS,"Harte-Hanks, Inc."
HSTM,"HealthStream, Inc."
HSII,"Heidrick & Struggles International, Inc."
HPE,Hewlett Packard Enterprise Company
HIMX,"Himax Technologies, Inc."
HPQ,HP Inc.
HMI,Huami Corporation
HUBS,"HubSpot, Inc."
HSON,"Hudson Global, Inc."
HUYA,HUYA Inc.
ICHR,Ichor Holdings
ICLK,iClick Interactive Asia Group Limited
INVE,"Identiv, Inc."
IEC,IEC Electronics Corp.
INFO,IHS Markit Ltd.
ITW,Illinois Tool Works Inc.
IMMR,Immersion Corporation
INFY,Infosys Limited
INOD,Innodata Inc.
ISSC,"Innovative Solutions and Support, Inc."
INOV,"Inovalon Holdings, Inc."
IPHI,Inphi Corporation
INPX,Inpixon 
NSP,"Insperity, Inc."
INSE,"Inspired Entertainment, Inc."
INST,"Instructure, Inc."
INTC,Intel Corporation
IDN,"Intellicheck, Inc."
INS,Intelligent Systems Corporation
IMI,"Intermolecular, Inc."
INAP,Internap Corporation
IBM,International Business Machines Corporation
IIJI,"Internet Initiative Japan, Inc."
IPG,"Interpublic Group of Companies, Inc. (The)"
INXN,InterXion Holding N.V.
IVAC,"Intevac, Inc."
INTU,Intuit Inc.
IPGP,IPG Photonics Corporation
JCOM,"j2 Global, Inc."
JBL,Jabil Inc.
JKHY,"Jack Henry & Associates, Inc."
JT,Jianpu Technology Inc.
JKS,JinkoSolar Holding Company Limited
JMU,JMU Limited
JBT,John Bean Technologies Corporation
JNPR,"Juniper Networks, Inc."
KAI,Kadant Inc
KELYA,"Kelly Services, Inc."
KELYB,"Kelly Services, Inc."
KTCC,Key Tronic Corporation
KFRC,"Kforce, Inc."
KE,"Kimball Electronics, Inc."
KOPN,Kopin Corporation
KFY,Korn Ferry 
KLIC,"Kulicke and Soffa Industries, Inc."
KVHI,"KVH Industries, Inc."
LLL,"L3 Technologies, Inc."
LRCX,Lam Research Corporation
LTRX,"Lantronix, Inc."
LSCC,Lattice Semiconductor Corporation
LEAF,Leaf Group Ltd.
LDOS,"Leidos Holdings, Inc."
LTRPA,"Liberty TripAdvisor Holdings, Inc."
LTRPB,"Liberty TripAdvisor Holdings, Inc."
LPTH,"LightPath Technologies, Inc."
LECO,"Lincoln Electric Holdings, Inc."
LN,LINE Corporation
LIQT,"LiqTech International, Inc."
LPSN,"LivePerson, Inc."
RAMP,"LiveRamp Holdings, Inc."
LOGI,Logitech International S.A.
LOGM,"LogMein, Inc."
LORL,"Loral Space and Communications, Inc."
LKCO,Luokung Technology Corp
LXFT,"Luxoft Holding, Inc."
MTSI,"MACOM Technology Solutions Holdings, Inc."
MGIC,Magic Software Enterprises Ltd.
MX,MagnaChip Semiconductor Corporation
MJCO,Majesco
MAMS,"MAM Software Group, Inc."
MANH,"Manhattan Associates, Inc."
MNTX,"Manitex International, Inc."
MAN,ManpowerGroup
MRIN,Marin Software Incorporated
MRVL,Marvell Technology Group Ltd.
MTCH,"Match Group, Inc."
MTLS,Materialise NV
MAXR,Maxar Technologies Inc.
MXIM,"Maxim Integrated Products, Inc."
MXL,"MaxLinear, Inc"
MGRC,McGrath RentCorp
MDCA,MDC Partners Inc.
MDSO,"Medidata Solutions, Inc."
MLNX,"Mellanox Technologies, Ltd."
MFGP,Micro Focus Intl PLC
MCHP,Microchip Technology Incorporated
MU,"Micron Technology, Inc."
MSFT,Microsoft Corporation
MSTR,MicroStrategy Incorporated
MCRN,Milacron Holdings Corp.
MIME,Mimecast Limited
MNDO,MIND C.T.I. Ltd.
MIND,"Mitcham Industries, Inc."
MINDP,"Mitcham Industries, Inc."
MITK,"Mitek Systems, Inc."
MIXT,MiX Telematics Limited
MOBL,"MobileIron, Inc."
MODN,"Model N, Inc."
MOMO,Momo Inc.
MDB,"MongoDB, Inc."
MPWR,"Monolithic Power Systems, Inc."
TYPE,Monotype Imaging Holdings Inc.
MOSY,"MoSys, Inc."
MSI,"Motorola Solutions, Inc."
MOXC,"Moxian, Inc."
MTBC,"MTBC, Inc."
MTBCP,"MTBC, Inc."
MTEC,MTech Acquisition Corp.
MTECU,MTech Acquisition Corp.
MTECW,MTech Acquisition Corp.
MYSZ,"My Size, Inc."
NNDM,Nano Dimension Ltd.
NH,"NantHealth, Inc."
NATI,National Instruments Corporation
NPTN,NeoPhotonics Corporation
NETE,"Net Element, Inc."
NTAP,"NetApp, Inc."
NTCT,"NetScout Systems, Inc."
NTWK,NetSol Technologies Inc.
NEWR,"New Relic, Inc."
NXGN,"NextGen Healthcare, Inc."
NICE,NICE Ltd
LASR,"nLIGHT, Inc."
NOK,Nokia Corporation
NUAN,"Nuance Communications, Inc."
NTNX,"Nutanix, Inc."
NVEC,NVE Corporation
NVT,nVent Electric plc
NVDA,NVIDIA Corporation
NXPI,NXP Semiconductors N.V.
OIIM,O2Micro International Limited
OKTA,"Okta, Inc."
OMCL,"Omnicell, Inc."
OMC,Omnicom Group Inc.
ON,ON Semiconductor Corporation
OTIV,On Track Innovations Ltd
OSS,"One Stop Systems, Inc."
OSPN,OneSpan Inc.
OOMA,"Ooma, Inc."
OTEX,Open Text Corporation
ORCL,Oracle Corporation
OSIS,"OSI Systems, Inc."
PFIN,"P & F Industries, Inc."
PD,"PagerDuty, Inc."
PAGS,PagSeguro Digital Ltd.
PANW,"Palo Alto Networks, Inc."
TEUM,Pareteum Corporation
PCYG,"Park City Group, Inc."
PKE,Park Electrochemical Corporation
PAYC,"Paycom Software, Inc."
PCTY,Paylocity Holding Corporation
PCTI,"PC-Tel, Inc."
PDFS,"PDF Solutions, Inc."
PEGA,Pegasystems Inc.
PNR,Pentair plc.
PRFT,"Perficient, Inc."
PERI,Perion Network Ltd
PRSP,Perspecta Inc.
PLAB,"Photronics, Inc."
PHUN,"Phunware, Inc."
PHUNW,"Phunware, Inc."
PT,Pintec Technology Holdings Limited
PVTL,"Pivotal Software, Inc."
PXLW,"Pixelworks, Inc."
PLXS,Plexus Corp.
PS,"Pluralsight, Inc."
PNTR,Pointer Telocation Ltd.
POWI,"Power Integrations, Inc."
PBTS,"Powerbridge Technologies Co., Ltd."
PSDO,"Presidio, Inc."
IPDN,"Professional Diversity Network, Inc."
PRGS,Progress Software Corporation
PFPT,"Proofpoint, Inc."
PRO,"PROS Holdings, Inc."
PTC,PTC Inc.
PSTG,"Pure Storage, Inc. "
QTWO,"Q2 Holdings, Inc."
QADA,QAD Inc.
QADB,QAD Inc.
QRVO,"Qorvo, Inc."
QCOM,QUALCOMM Incorporated
QBAK,Qualstar Corporation
QLYS,"Qualys, Inc."
QTNA,"Quantenna Communications, Inc."
QRHC,Quest Resource Holding Corporation
QUIK,QuickLogic Corporation
QUMU,Qumu Corporation
RDCM,Radcom Ltd.
RMBS,"Rambus, Inc."
RPD,"Rapid7, Inc."
RCMT,"RCM Technologies, Inc."
RNWK,"RealNetworks, Inc."
RP,"RealPage, Inc."
RHT,"Red Hat, Inc."
RDVT,"Red Violet, Inc."
SOL,Renesola Ltd.
RENN,Renren Inc.
RCII,Rent-A-Center Inc.
RESN,Resonant Inc.
RXN,Rexnord Corporation
RBBN,Ribbon Communications Inc. 
RNG,"Ringcentral, Inc."
RHI,Robert Half International Inc.
RST,Rosetta Stone
RBCN,"Rubicon Technology, Inc."
RMBL,"RumbleOn, Inc."
SABR,Sabre Corporation
SFET,Safe-T Group Ltd.
SAIL,"SailPoint Technologies Holdings, Inc."
CRM,Salesforce.com Inc
SANM,Sanmina Corporation
SAP,SAP SE
SPNS,Sapiens International Corporation N.V.
SCSC,"ScanSource, Inc."
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
SGMS,Scientific Games Corp
SEAC,"SeaChange International, Inc."
STX,Seagate Technology PLC
SCWX,SecureWorks Corp.
SMI,Semiconductor  Manufacturing International Corporation
LEDS,SemiLEDS Corporation
SMTC,Semtech Corporation
SQNS,Sequans Communications S.A.
NOW,"ServiceNow, Inc."
SGOC,"SGOCO Group, Ltd"
SHSP,"SharpSpring, Inc."
PIXY,"ShiftPixy, Inc."
SHOP,Shopify Inc.
SSTI,"ShotSpotter, Inc."
SSTK,"Shutterstock, Inc."
SWIR,"Sierra Wireless, Inc."
SIFY,Sify Technologies Limited
SGMA,"SigmaTron International, Inc."
SILC,Silicom Ltd
SLAB,"Silicon Laboratories, Inc."
SIMO,Silicon Motion Technology Corporation
SLP,"Simulations Plus, Inc."
SINA,Sina Corporation
SWKS,"Skyworks Solutions, Inc."
SGH,"SMART Global Holdings, Inc."
SMAR,Smartsheet Inc.
SMSI,"Smith Micro Software, Inc."
SMTX,SMTC Corporation
SNAP,Snap Inc.
SRAX,"Social Reality, Inc."
SCKT,"Socket Mobile, Inc."
SOGO,Sogou Inc.
SOHU,Sohu.com Limited 
SEDG,"SolarEdge Technologies, Inc."
SWI,SolarWinds Corporation
ANY,Sphere 3D Corp.
SPI,"SPI Energy Co., Ltd."
SPLK,Splunk Inc.
SPSC,"SPS Commerce, Inc."
SPXC,SPX Corporation
FLOW,"SPX FLOW, Inc."
SQ,"Square, Inc."
SSNC,"SS&C Technologies Holdings, Inc."
STAF,"Staffing 360 Solutions, Inc."
SXI,Standex International Corporation
SRT,"StarTek, Inc."
STM,STMicroelectronics N.V.
STNE,StoneCo Ltd.
SSYS,"Stratasys, Ltd."
STRM,"Streamline Health Solutions, Inc."
WISA,"Summit Wireless Technologies, Inc."
SPWR,SunPower Corporation
SPCB,"SuperCom, Ltd."
SCON,Superconductor Technologies Inc.
SPRT,"support.com, Inc."
SVMK,SVMK Inc.
SWCH,"Switch, Inc."
SYKE,"Sykes Enterprises, Incorporated"
SYMC,Symantec Corporation
SYNC,"Synacor, Inc."
SYNA,Synaptics Incorporated
SNCR,"Synchronoss Technologies, Inc."
SNX,Synnex Corporation
SNPS,"Synopsys, Inc."
DATA,"Tableau Software, Inc."
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
TTWO,"Take-Two Interactive Software, Inc."
TLND,Talend S.A.
TAOP,Taoping Inc.
TRNX,"Taronis Technologies, Inc."
TECD,Tech Data Corporation
TCCO,Technical Communications Corporation
TLRA,"Telaria, Inc."
TENB,"Tenable Holdings, Inc."
TNC,Tennant Company
TDC,Teradata Corporation
TXN,Texas Instruments Incorporated
TGH,Textainer Group Holdings Limited
DSGX,The Descartes Systems Group Inc.
KEYW,The KEYW Holding Corporation
MIDD,The Middleby Corporation
RUBI,"The Rubicon Project, Inc."
TSG,The Stars Group Inc.
TTD,"The Trade Desk, Inc."
ULTI,"The Ultimate Software Group, Inc."
TISA,"Top Image Systems, Ltd."
TSEM,Tower Semiconductor Ltd.
TACT,TransAct Technologies Incorporated
TZOO,Travelzoo
TRT,Trio-Tech International
TRIP,"TripAdvisor, Inc."
TRTN,Triton International Limited
TRVG,trivago N.V.
TBI,"TrueBlue, Inc."
TRUE,"TrueCar, Inc."
TSRI,"TSR, Inc."
TTEC,"TTEC Holdings, Inc."
TTMI,"TTM Technologies, Inc."
TCX,Tucows Inc.
TUFN,Tufin Software Technologies Ltd.
TWLO,Twilio Inc.
TWIN,"Twin Disc, Incorporated"
TWTR,"Twitter, Inc."
TYL,"Tyler Technologies, Inc."
UBNT,"Ubiquiti Networks, Inc."
UCTT,"Ultra Clean Holdings, Inc."
UIS,Unisys Corporation
UMC,United Microelectronics Corporation
URI,"United Rentals, Inc."
UPLD,"Upland Software, Inc."
UPWK,Upwork Inc.
VRNS,"Varonis Systems, Inc."
VECO,Veeco Instruments Inc.
VEEV,Veeva Systems Inc.
VRNT,Verint Systems Inc.
VRSN,"VeriSign, Inc."
VRSK,"Verisk Analytics, Inc."
VERI,"Veritone, Inc."
VSAT,"ViaSat, Inc."
VIAV,Viavi Solutions Inc.
VRTU,Virtusa Corporation
VMW,"Vmware, Inc."
VISI,"Volt Information Sciences, Inc."
VUZI,Vuzix Corporation
WSTG,"Wayside Technology Group, Inc."
WB,Weibo Corporation
WBT,"Welbilt, Inc."
WDC,Western Digital Corporation
WYY,WidePoint Corporation
WIT,Wipro Limited
WIX,Wix.com Ltd.
WDAY,"Workday, Inc."
WK,Workiva Inc.
WPP,WPP plc
XRX,Xerox Corporation
XLNX,"Xilinx, Inc."
XPER,Xperi Corporation
XNET,Xunlei Limited
YNDX,Yandex N.V.
YEXT,"Yext, Inc."
YY,YY Inc.
ZBRA,Zebra Technologies Corporation
ZDGE,"Zedge, Inc."
ZEN,"Zendesk, Inc."
ZIXI,Zix Corporation
ZS,"Zscaler, Inc."
ZUO,"Zuora, Inc."
ZNGA,Zynga Inc.
